,Plasmid,Sample,Replicate,Antibiotic,Project,Species,Vmax_day3,lag_day3,AUC_day3,ODmax_day3,Day.y,AUC,ODmax,Replicate_cntrl,y0,y0_lm,Vmax,lag,r2,Day,Treatment
39,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",11,"886,214,999,999,997","0,991",4,"0,145","0,0965820193746083","0,0126482023285601","321,263,957,367,467","0,999405607871396",11,problems
40,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",13,"864,515","0,968",4,"0,121","0,0710012697811414","0,0120210714635807","44,346,528,185,028","0,998528628286525",13,problems
41,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",15,"870,225,000,000,007","0,907",4,"0,132","0,0860200067414635","0,0122515663369685","349,524,301,695,009","0,999554962158706",15,problems
42,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",17,"727,884,999,999,997","0,821",4,"0,12","0,0786134541797787","0,011214022790283","377,160,714,878,373","0,99964473516007",17,problems
43,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",19,"572,559,999,999,999","0,688",4,"0,116","0,0679442484210251","0,0127384327900937","419,912,486,243,919","0,999420453015959",19,problems
44,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",21,"750,890,000,000,001","0,874",4,"0,116","0,0610292512351136","0,0116980943499909","549,009,859,393,114","0,999468046170743",21,problems
45,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",1,"399,68","0,636",5,"0,091","0,0038399995479899","0,00773954027321306","408,989,054,373,649","0,999555628463879",1,problems
46,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",3,"783,409,999,999,995","0,806",5,"0,102","0,0322651113294742","0,00790051950564147","145,684,889,532,732","0,999724077937272",3,problems
47,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",5,"688,86","0,751",5,"0,104","0,0422449563961957","0,0061379289201581","146,776,859,005,846","0,999768324908731",5,problems
48,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",7,"672,165,000,000,001","0,704",5,"0,107","0,0399700346333629","0,00827827126984912","118,949,810,069,834","0,999660539744258",7,problems
49,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",9,"765,619,999,999,999","0,834",5,"0,117","0,0740029308977287","0,00641899740265915","713,614,926,004,001","0,998182032609007",9,problems
50,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732",7.83E+14,"0,806",11,"100,402,499,999,999","1,123",5,"0,107","0,0423834608124933","0,00875676444328639","105,754,885,779,775","0,999383680261004",11,problems
51,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",13,"909,594,999,999,992","0,972",5,"0,111","0,0461843846597334","0,00818950769242342","107,074,623,734,335","0,999548252413651",13,problems
52,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",15,"985,329,999,999,993","1,066",5,"0,122","0,0810824214396074","0,00739250318171819","552,661,052,328,992","0,999468089276443",15,problems
53,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",17,"952,245,000,000,009","0,977",5,"0,108","0,0623626430336814","0,00635338113113829","864,366,215,436,718","0,998385276111607",17,problems
54,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",19,"947,440,000,000,005","1,018",5,"0,098","0,0537397918762747","0,00472423957214262","127,176,816,312,061","0,999488392172121",19,problems
55,-,Delta6,4,-,RIBO,Ec,"0,00790051950564147","145,684,889,532,732","783,409,999,999,995","0,806",21,"948,755,000,000,001","1,121",5,"0,104","0,054751968438816","0,00672414675742552","954,139,760,798,918","0,999688563223658",21,problems
56,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",1,"413,805,000,000,002","0,693",6,"0,092","0,000228178735694383","0,00965327916877513","621,489,806,811,967","0,999324108952993",1,problems
57,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",3,"709,394,999,999,988","0,851",6,"0,109","0,0383039692610787","0,00766628677514671","136,414,718,888,843","0,99973349652231",3,problems
58,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",5,"617,005,000,000,009","0,726",6,"0,108","0,0254709297282482","0,0082080262397117","175,997,662,986,753","0,997685045365095",5,problems
